SKU,Name,Description,URL Link,"If not a URL link, a file image (Jpeg/PNG) must be sent in a ZIP File with the SKUs as the file name"
CTX40PCDW,OMG TIMBERTECH CORTEX 40 PLUG PACK RESERVE DRIFTWOOD (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK RESERVE DRIFTWOOD (nonstock),,
CTX40PCE,OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY ESPRESSO (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY ESPRESSO (nonstock),,
CTX40PCM,OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY MOCHA (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY MOCHA (nonstock),,
CTX40PCMG,OMG TIMBERTECH CORTEX 40 PLUG PACK EDGE PREMIER MARITIME GRAY (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK EDGE PREMIER MARITIME GRAY (nonstock),,
CTX40PCP,OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY PECAN (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY PECAN (nonstock),,
CTX40PCTW,OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY TIGERWOOD (nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY TIGERWOOD (nonstock),,
CTX40PCWC,TimberTech Cortex 40 Plug Pack Legacy Whitewash Cedar (Nonstock),OMG TIMBERTECH CORTEX 40 PLUG PACK LEGACY WHITEWASH CEDAR (nonstock),,
CWAGCR,Concord Wall Almond Grove Corner,CONCORD WALL ALMOND GROVE CORNER,,
CWAGSC,Concord Wall Almond Grove Step Coping (32 pcs per Bundle),CONCORD WALL ALMOND GROVE STEP COPING (32 pcs per bundle),,
CWAGWC,Concord Wall Almond Grove Wedge Cap,CONCORD WALL ALMOND GROVE WEDGE CAP,,
CWAGXL,Concord Wall Almond Grove Tapered XL,CONCORD WALL ALMOND GROVE TAPERED XL,,
CWGRCR,Concord Wall Granite Corner,CONCORD WALL GRANITE CORNER,,
CWGRHC,Concord Wall Granite Half Unit,***CONCORD WALL GRANITE HALF UNIT,,
CWGRSC,Concord Wall Granite Step Coping (32 pcs per Bundle),CONCORD WALL GRANITE STEP COPING (32 pcs per Bundle),,
CWGRWC,Concord Wall Granite Wedge Cap,CONCORD WALL GRANITE WEDGE CAP,,
CWGRXL,Concord Wall Granite Tapered XL,CONCORD WALL GRANITE TAPERED XL,,
CWSAOHC,Concord Wall Sierra 1-1/2 Unit,***CONCORD WALL SIERRA 1-1/2 UNIT,,
D2W58,"Deck 2 Wall Spacer 5/8"" x 2-1/2""","DECK 2 WALL SPACER 5/8"" X 2-1/2""",,
DB158,"OMG FMGD158-1750 1-5/8"" Guard Dog Screw 1750 Count (Nonstock)","OMG ""FMGD158-1750"" 1-5/8"" GUARD DOG SCREW 1750 COUNT(nonstock)",,
DB2,"OMG FMGD002-1750 2"" Guard Dog Screw 1750 Count (Nonstock)","OMG ""FMGD002-1750"" 2"" GUARD DOG SCREW 1750 COUNT(nonstock)",,
